Rank,Traditional,Simplified,Pinyin,Meaning
128,許多,许多,xǔduō,"lot, scores, lots, sight, pot, heap, quantity, plenty, slews, ton, battalion, many, scads, tidy sum, power, spate, chunk, pile, crowd, vastness, batch, lashings, whole lot, mint, mound, pocketful, large number, trunkful, ream, mickle, great deal, flock, mass, slew, heaps, a lot of, piles, whole slew, mess, raff, slue, gobs, much, lotta, multitude, volume, wad, store, raft, tons, satiety, rafts, doze"
129,生活,生活,shēnghuó,"life, existence, livelihood"
130,跟,跟,gēn,"with, to, from"
131,已經,已经,yǐjīng,already
132,大學,大学,dàxué,"university, college"
133,研究,研究,yánjiù,"study, research"
134,因,因,yīn,"conj.: because, as"
135,本,本,běn,det.: this
136,二,二,èr,"det.: two, second"
137,活動,活动,huódòng,"activity, maneuver, behavior"
138,該,该,gāi,"det.: this, that"
139,世界,世界,shìjiè,"mundane, creation, world, monde, orb, nature, domain"
140,應,应,yīng,"should, ought to"
141,四,四,sì,det.: four
142,希望,希望,xīwàng,"hope, wish"
143,方式,方式,fāngshì,"path, plan, pattern, tenor, system, method, manner, style, way, guise, fashion, wise, means, shape, how, embodiment, agency, gate, mode, sort"
144,內,内,nèi,inside
145,項,项,xiàng,m.[general]
146,啊,啊,ā,particle: used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation
147,下,下,xià,under (condition/fact etc.)
148,環境,环境,huánjìng,"circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience"
149,一些,一些,yīxiē,"det.: some, a few, a little"
150,必須,必须,bìxū,must
151,文化,文化,wénhuà,"civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture"
152,高,高,gāo,"tall, high"
153,孩子,孩子,háizi,"kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son"
154,沒有,没有,méiyǒu,"not have, there is not, be without"
155,不能,不能,bùnéng,"must/may/can not, not be allowed"
156,如,如,rú,"according to, in accordance with, such as, as if, like, for example"
157,開始,开始,kāishǐ,"begin, start"
158,元,元,yuán,m.[standard]
159,不同,不同,bùtóng,different
160,仍,仍,réng,"yet, anyway, still"
161,網路,网路,wǎnglù,"WWW, net, network, Internet, meshwork, web, world wide web, mesh, reticulation"
162,日本,日本,rìběn,"Nippon, Cipango, Nihon, Japan, japan, Japanese"
163,用,用,yòng,with
164,中心,中心,zhōngxīn,"center, heart, hub"
165,來,来,lái,"come, arrive"
166,對,对,duì,right; correct
167,雖然,虽然,suīrán,"conj.: though, although"
168,重要,重要,zhòngyào,"important, significant, major"
169,地方,地方,dìfāng,"country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local"
170,進行,进行,jìnxíng,"be in progress, go on, carry on/out"
171,關係,关系,guānxì,"relation, bearing, impact, membership credentials, ""backdoor connections"""
172,市場,市场,shìchǎng,"bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market"
173,太,太,tài,"excessively, too, extremely, very"
174,老師,老师,lǎoshī,"rabbi, professor, swami, instructor, teacher, mast"
175,提供,提供,tígōng,"feed, offer, put_up, afford, proffer, set_up, capitalize, bring_forward, sponsor, extend, ply, provision, sustain, equip, supply, cough_up, bear, render, furnish, cater, billet, provide"
176,學校,学校,xuéxiào,"seminary, schoolhouse, educational institution, school, institution"
177,應該,应该,yīnggāi,"should, ought to"
178,指出,指出,zhǐchū,"point, point_out, catch_out, bespeak, indicate, denote, point out (that), note, show, designate, point out"
179,經濟,经济,jīngjì,"economy, financial condition, income"
180,其他,其他,qítā,"det.: others, the rest, other, else"
181,家,家,jiā,"family, household, home, house"
182,發展,发展,fāzhǎn,"develop, expand, grow"
183,教育,教育,jiàoyū,education
184,成為,成为,chéngwéi,"find, join, comprise, turn to, commemorate, sample, entomb, come_up, commence, get hold, learn, add up, necessitate, run, make up, constitute, make, form, come, amount, represent, fall, presage, change, be, turn, turn into, become, line up, come up, shape, portend, foretell, get"
185,多,多,duō,"many, much, more, more than the correct/required number, excessive, too much, much/far more"
186,非常,非常,fēicháng,"extraordinary, unusual, special, very, extremely, highly"
187,便,便,biàn,"as early as, soon afterwards, little as, as early, and then, and so, so, as early/little as, as little as, then, in that case"
188,方面,方面,fāngmiàn,"side, aspect, sector, part, light, facet, behalf, way, respect, direction, bearing, field, phase, sphere, angle, hand"
189,很多,很多,hěnduō,det.:
190,吃,吃,chī,"feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up"
191,然後,然后,ránhòu,"therewith, and so, and_then, and then, thereupon, after that, so, then, with that"
192,未,未,wèi,"or not (at end of sentence), have not yet, or not, not"
193,發現,发现,fāxiàn,"find, discover"
194,電腦,电脑,diànnǎo,"electronic computer, computery, data processor, information processing system, computer"
195,一樣,一样,yīyàng,"same, equal, similar"
196,而且,而且,érqiě,"conj.: furthermore, and"
197,心,心,xīn,"heart, mind, feeling, center, core"
198,不過,不过,búguò,"conj.: but, however, only"
199,無法,无法,wúfǎ,"nohow, unable to, unable, cannot"
200,企業,企业,qìyè,"proposition, business enterprise, business organization, business concern, concern, commercial enterprise, endeavour, endeavor, industry, business, project, corporation, enterprise"
201,正,正,zhèng,"precisely, punctually"
202,服務,服务,fúwù,"be in the service of, serve"
203,較,较,jiào,"rather, quite, relatively, more"
204,不會,不会,búhuì,won't
205,臺灣,台湾,táiwān,Taiwan
206,曾,曾,zēng,"once, ever, before"
207,嗎,吗,mā,particle: calling for agreement or disagreement
208,空間,空间,kōngjiān,"elbow room, allowance, margin, roomage, open air/sky/space, road, leeway, way, open air, sheets, room, tolerance, opening, clear, sky, spacial, interspace, vacuity, spatial, dimension, open sky/space, space, place, vacuum"
209,看到,看到,kàndào,"view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of"
210,五,五,wǔ,det.: five
211,如何,如何,rúhé,how
212,國內,国内,guónèi,"interior (of country), interior, home, intestine, internal, domestic"
213,們,们,men,pluralizer after pronouns and nouns of persons
214,無,无,wú,"not have, there is not"
215,對於,对于,duìyū,"in regard) to, toward, at, for"
216,以及,以及,yǐjí,"conj.: as well as, along with, and"
217,之後,之后,zhīhòu,"later, behind, at the back of, after"
218,可是,可是,kěshì,"conj.: but, yet, however"
219,當,当,dāng,"when, while"
220,人員,人员,rényuán,"strength, personnel, force, staff"
221,比,比,bǐ,compared with
222,先,先,xiān,"earlier, in advance, before"
223,產品,产品,chǎnpǐn,"baby, brand, output, product, produce, end product, merchandise, fruitage, growth, manufacture, wares, production"
224,資訊,资讯,zīxùn,"stuff, message, information, news, info"
225,資料,资料,zīliào,"food, source, info, means, data, information, material, datum, data point, matter"
226,比較,比较,bǐjiǎo,"relatively, fairly"
227,先生,先生,xiānshēng,"doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen"
228,地,地,dì,"the earth, land, soil, fields, ground, place, position, background, distance"
229,除了,除了,chúle,"except, besides"
230,大陸,大陆,dàlù,Ch. mainland
231,需要,需要,xūyào,"need, want, require, demand"
232,像,像,xiàng,be like
233,在,在,zài,indicating an action in progress
234,給,给,gěi,"give, give to"
235,歲,岁,suì,"year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops"
236,請,请,qǐng,"request, ask (a favor), engage, hire (teacher/etc.), Please..."
237,月,月,yuè,moon
238,些,些,xiē,m.[proximation]
239,名,名,míng,m.[general]
240,另,另,lìng,det.: another
241,若,若,ruò,"conj.: if, as if"
242,亦,亦,yì,"also, too"
243,地區,地区,dìqū,"section, country, area, latitude, zone, terrain, parts, locality, sector, province, prefecture, region, district, faubourg"
244,技術,技术,jìshù,"mechanics, know-how, prowess, science, Minerva, superior skill, art, competence, technology, craft, craftsmanship, skill, education, technique, artistry, engineering, technological, equipment, technical"
245,至,至,zhì,"to, until, till"
246,特別,特别,tèbié,"unusual, specially"
247,其實,其实,qíshí,"as a matter of fact, actually, in fact"
248,國際,国际,guójì,international
249,不要,不要,búyào,"never, noway, don't want, don't (do sth.)"
250,發生,发生,fāshēng,"happen, occur, take place"
251,參加,参加,cānjiā,"join, attend, take part in, give (advice/etc.)"
252,一定,一定,yīdìng,must
253,其中,其中,qízhōng,"among, of them, in it, among them, which, them, det.: it, in, in which"
254,問,问,wèn,"ask, examine, question, interrogate"
255,台北,台北,táiběi,"capital of Nationalist China, capital of Republic of China on Taiwan, Taipei"
256,包括,包括,bāokuò,"consist_of, consist of, subtend, embrace, comprise, incorporate, embody, involve, count, subsume, take_in, comprehend, incorporation, include, comprize, run, cover, package, consist in"
257,講,讲,jiǎng,"discourse, utter, talk, negotiation, make clear, negotiate, parley, pay attention to, speak, syllable, discuss, explain, tell, be particular about, explanation, interpretation, interpret, relate, discussion, stress, mouth, say, remark, verbalize"
258,造成,造成,zàochéng,"make_for, give rise to, create, set_up, strike, creation, cause, contribute, bring_about, procure, give, bring about, cut_out, necessitate, shape, present, bring_forth, generate, yield, make, breed"
259,看,看,kàn,"think, consider"
260,像,像,xiàng,"be like, resemble"
261,常,常,cháng,"often, usually, frequently"
262,即,即,jí,"at present, in the immediate future, then, promptly, at once"
263,喜歡,喜欢,xǐhuān,"like, love, be fond of, be happy/elated"
264,去,去,qù,"go, go to"
265,沒,没,méi,not
266,出現,出现,chūxiàn,"appear, arise, emerge"
267,政治,政治,zhèngzhì,"paternalism, trouble, government, policy, political relation, political science, polity, politics, political affairs, political"
268,話,话,huà,"words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word"
269,走,走,zǒu,"scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move"
270,單位,单位,dānwèi,"department, unit, denomination, module, building block, unit of measurement, monad, unit (in measurement or organization)"
271,一直,一直,yīzhí,"e'er, away, continuously, all the way, right, forever, all_along, always, the whole way, all along, straight, slap, through, ever, evermore"
272,吧,吧,ba,particle: used to show mild imperative or uncertainty
273,是否,是否,shìfǒu,"whether or not, is it so or not"
274,當然,当然,dāngrán,"certainly, of course"
275,整,整,zhěng,det.: exact
276,處理,处理,chǔlǐ,"handle, deal with, dispose of, process"
277,歷史,历史,lìshǐ,"past records, historical, history"
278,了解,了解,liǎojiě,"understand, comprehend, find out, acquaint oneself with"
279,那,那,nà,"then, in that case"
280,怎麼,怎么,zěnme,how
281,機會,机会,jīhuì,"scouth, occasion, good luck, hap, liberty, fortune, opportunity, chance, joss, hazard, happy chance, probability, luck, scope, room, break, turn, opening"
282,家,家,jiā,m.[general]
283,聽,听,tīng,"hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark"
284,所有,所有,suǒyǒu,det.: all
285,只要,只要,zhǐyào,"conj.: so long as, provided"
286,朋友,朋友,péngyǒu,"amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company"
287,令,令,lìng,"make, cause"
288,甚至,甚至,shènzhì,"even (to the point of), so much so that"
289,用,用,yòng,"use, employ, apply, eat, drink, spend"
290,真,真,zhēn,"really, truly, indeed, clearly"
291,六,六,liù,det.: six
292,呀,呀,ya,"particle: replacing 啊 when preceding word ends in a, e, i, o, or (y)u; used in direct address and exclamation; indicating obviousness/impatience/suggestion; used for confirmation"
293,情況,情况,qíngkuàng,"event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration"
294,還是,还是,háishì,"still, nevertheless"
295,錢,钱,qián,"copper coin, cash, money, fund, sum"
296,方法,方法,fāngfǎ,"know-how, plan, attack, system, stepping-stone, manner, method, gateway, idea, measure, way, guise, key, wise, quomodo, plan of attack, tack, machinery, process, avenue, modus, how, means, channel, gate, approach, agency, gamesmanship, mode, medium, sort"
297,點,点,diǎn,m.[proximation]
298,任何,任何,rènhé,"aught, det.: any"
299,經驗,经验,jīngyàn,experience
300,藝術,艺术,yìshù,"beaux-arts, aesthetical, artistic production, artistic, ars, art, academy, aesthetic, artistic creation, skill, craft, artistry, esthetic"
301,你們,你们,nǐmen,"you, you (plural), you-all"
302,十,十,shí,det.: ten
303,主要,主要,zhǔyào,"main, chief, principal, major"
304,媽媽,妈妈,māmā,"mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma"
305,增加,增加,zēngjiā,"increase, raise, add"
306,提出,提出,tíchū,"put forward, pose, raise"
307,為什麼,为什么,wèishéme,"why, why?, how come, why is it that?, whereat, whereto"
308,以,以,yǐ,"conj.: in order to, so as to"
309,您,您,nín,you
310,計畫,计画,jìhuà,"plan, project, program"
311,作,作,zuò,"do, make, rise, write, compose, pretend, affect, feign"
312,利用,利用,lìyòng,"use, utilize, take advantage of, exploit"
313,東西,东西,dōngxī,"thing, creature"
314,在,在,zài,"exist, live, be at/in/on, depend on, rest with"
315,條,条,tiáo,"bar, item, short note, a long narrow piece, streak, clause, stripe, sth. long and narrow, filet, m.[general], , article, strip, assize, twig, ingot, slip"
316,設計,设计,shèjì,"design, plan"
317,找,找,zhǎo,"look for, seek, call on, approach"
318,之間,之间,zhījiān,"among, between"
319,成長,成长,chéngzhǎng,"grow up, mature"
320,能夠,能够,nénggòu,"can, able, would, may"
321,決定,决定,juédìng,"decide, resolve, make up one's mind, determine"
322,學習,学习,xuéxí,"study, learn, emulate"
323,誰,谁,shéi,"who, someone, anyone"
324,見,见,jiàn,"see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet"
325,半,半,bàn,det.: half
326,時代,时代,shídài,"day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age"
327,完成,完成,wánchéng,"fill in, finish out, fulfil, practice, complete, finish, encompass, clear_up, top_off, cleave, top off, accomplishment, make out, effect, perfective, fulfill, go through, exercise, discharge, fill out, completion, end, run, bring ... to fruition, round_out, achieve, execute, round out, make, cap off, accomplish, practise, follow through, come, finalize, fulfilment, dispatch, bring ..."
328,帶,带,dài,"look after, raise"
329,相當,相当,xiāngdāng,"quite, fairly, considerably"
330,同學,同学,tóngxué,"class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student"
331,件,件,jiàn,"correspondence, paper, document, bit, m.[general], , single item, letter, piece"
332,能力,能力,nénglì,"department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power"
333,別人,别人,biérén,"others, other people, another person"
334,生命,生命,shēngmìng,"breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form"
335,下,下,xià,"below, under, underneath"
336,來,来,lái,time (since)
337,場,场,cháng,m.[event]
338,會議,会议,huìyì,"synod, moot, conference, board, convocation, soviet, congress, talks, indaba, negotiation, junta, group discussion, convention, meeting place, session, council, rendezvous, colloquy, coming together, powwow, seance, meeting, forum, consultation, roll-up, get-together, assembly"
339,容易,容易,róngyì,easy
340,開發,开发,kāifā,"develop, open up, exploit"
341,民眾,民众,mínzhòng,"civil, crowd, masses, populace, rank_and_file, the masses, the masses of the people, the populace, demos, mob, multitude, plebs, commons, the common people, the people, million, public"
342,事情,事情,shìqíng,"proposition, pie, shebang, thing, affair, occasions, undertaking, concern, question, business, schmear, matter"
343,書,书,shū,"volume, document, style of calligraphy, book, script, letter"
344,事實,事实,shìshí,"mood, circumstance, fact, factual, reality, verity, case, deed, sooth, troth, actuality, truth, matter, matter of fact"
345,有關,有关,yǒuguān,be related
346,自,自,zì,"from, since"
347,組織,组织,zǔzhī,"tissue, nerve, weave, organization, organized system"
348,言,言,yán,"say, talk, speak"
349,多,多,duō,"more than the correct/required number, much/far more"
350,愛,爱,ài,"love, like, be fond of, be keen on, cherish, be apt to"
351,建立,建立,jiànlì,"establish, set up, found"
352,相關,相关,xiāngguān,"cognate, relational, interrelate, associated, be interrelated, relevant, related, be mutually related"
353,均,均, jūn,"without exception, all"
354,產生,产生,chǎnshēng,"come into being, produce, engender, emerge"
355,多,多,duō,"det.: more than, much more"
356,業者,业者,yèzhě,"dealer, interest"
357,解決,解决,jiějué,"solve, resolve, settle, dispose of, finish off"
358,完全,完全,wánquán,"completely, fully, wholly, absolutely"
359,的話,的话,dehuà,conj.: if
360,接受,接受,jiēshòu,"receive (honors, have, receive, acknowledge, sweep up, espouse, etc.), come to grips, adopt, embrace, greet, welcome, hook on, seize on, take up, accede, taken, entertain, latch on, buy, fasten on, swallow, imbibe, accept, receive (honors/etc.), undergo, get to grips, take, adapt, acceptance, thole"
361,知,知,zhī,"tell, notify, inform, be expert in, know, sense, be aware of, administration, notification, administer, be in charge of, realize"
362,約,约,yuē,"about, around"
363,一般,一般,yībān,"general, ordinary, common"
364,推動,推动,tuīdòng,"push forward, promote"
365,過程,过程,guòchéng,"unconscious process, mechanism, process, act, round, course"
366,管理,管理,guǎnlǐ,"manage, supervise, take care of"
367,功能,功能,gōngnéng,"functional, niche, function, competence, capacity, anatomy"
368,手,手,shǒu,hand
369,打,打,dǎ,"generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix"
370,水,水,shuǐ,"water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua"
371,要求,要求,yāoqiú,"request, demand"
372,小朋友,小朋友,xiǎopéngyǒu,"child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child"
373,教授,教授,jiàoshòu,professor
374,難,难,nán,"make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame"
375,我國,我国,wǒguó,our country
376,告訴,告诉,gàosù,"tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know"
377,內容,内容,nèiróng,"subject_matter, content, cognitive content, internal, contents, mental object, meat, substance, matter, lining"
378,結果,结果,jiéguǒ,"result, outcome, consequence"
379,調查,调查,diàochá,"investigate, look into, survey"
380,家庭,家庭,jiātíng,"hearthstone, background, fireside, establishment, household, hearth, domestic, hearthside, menage, home, family unit, family, house"
381,成立,成立,chénglì,"found, establish, be tenable, hold water"
382,選擇,选择,xuǎnzé,"select, opt"
383,經營,经营,jīngyíng,"manage, run, engage in"
384,然而,然而,ránér,"conj.: even so, but"
385,父母,父母,fùmǔ,"parental, parents, father and mother, folks"
386,寫,写,xiě,"description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose"
387,人類,人类,rénlèi,"man, wight, human_being, human, human race, mankind, individual, human species, Homo_sapiens, populace, creature, hominid, world, mortality, microcosm, humans, humanitarianism, humanity, humanness, human beings/species, people, species, humankind, human beings, public, mortal"
388,至於,至于,zhìyū,as for/to
389,買,买,mǎi,"pick up, invest, hire, buy, purchase, put_down, trade, get"
390,尤其,尤其,yóují,especially
391,配合,配合,pèihé,"coordinate, cooperate"
